location,bhk,area_sqft,bathrooms,furnishing,parking,rent
Borivali,4,1516,4.0,Unfurnished,0,69174
Thane,1,300,1.0,Fully-Furnished,1,20768
Thane,1,354,2.0,Fully-Furnished,1,23259
Powai,3,998,4.0,Semi-Furnished,0,80381
Goregaon,1,367,1.0,Fully-Furnished,1,27967
Borivali,1,300,1.0,Fully-Furnished,1,21722
Chembur,2,707,1.0,Unfurnished,1,44555
Chembur,1,357,1.0,Semi-Furnished,1,24924
Malad,3,1119,3.0,Semi-Furnished,1,63796
Malad,2,770,2.0,Fully-Furnished,0,54439
Chembur,2,701,3.0,Unfurnished,1,44250
Dadar,1,310,2.0,Semi-Furnished,0,30350
Goregaon,4,1294,4.0,Fully-Furnished,1,96972
Kandivali,4,1384,3.0,Semi-Furnished,1,86850
Bandra,3,1151,4.0,Unfurnished,1,108918
Andheri,2,711,1.0,Semi-Furnished,1,49563
Malad,1,300,1.0,Semi-Furnished,0,17572
Dadar,3,1142,3.0,Semi-Furnished,1,126086
Borivali,3,1202,3.0,Semi-Furnished,1,69786
Dadar,1,387,1.0,Unfurnished,0,34646
Thane,1,361,1.0,Semi-Furnished,1,19689
Borivali,1,300,1.0,Unfurnished,1,17796
Goregaon,1,300,1.0,Unfurnished,0,17795
Andheri,2,744,1.0,Unfurnished,1,42080
Kandivali,3,1042,2.0,Fully-Furnished,0,70688
Andheri,2,578,2.0,Semi-Furnished,0,32554
Chembur,3,1017,2.0,Unfurnished,0,61441
Malad,3,1038,3.0,Unfurnished,1,53224
Dadar,1,445,2.0,Semi-Furnished,1,50802
Borivali,2,721,2.0,Unfurnished,1,34914
Powai,2,525,3.0,Unfurnished,0,46712
Andheri,3,1044,4.0,Semi-Furnished,1,78103
Thane,1,300,1.0,Unfurnished,1,16042
Dadar,2,578,3.0,Fully-Furnished,0,67165
Borivali,1,368,1.0,Unfurnished,0,18826
Malad,2,641,3.0,Semi-Furnished,1,45999
Borivali,3,1146,3.0,Unfurnished,1,58198
Malad,2,695,3.0,Unfurnished,1,43168
Malad,2,692,1.0,Unfurnished,1,37716
Chembur,3,1039,4.0,Semi-Furnished,1,71992
Kandivali,1,481,1.0,Semi-Furnished,0,28167
Goregaon,1,300,1.0,Semi-Furnished,1,21454
Goregaon,1,325,1.0,Fully-Furnished,1,22396
Kandivali,2,663,2.0,Unfurnished,0,31893
Thane,4,1313,4.0,Fully-Furnished,1,74262
Kandivali,4,1368,4.0,Unfurnished,0,63367
Kandivali,4,1344,4.0,Unfurnished,1,76340
Dadar,4,1261,4.0,Semi-Furnished,1,127968
Borivali,2,692,2.0,Unfurnished,0,32626
Andheri,1,341,1.0,Semi-Furnished,0,22030
Borivali,1,300,1.0,Semi-Furnished,1,18123
Dadar,1,456,1.0,Fully-Furnished,1,52316
Goregaon,2,607,3.0,Unfurnished,1,33020
Powai,3,1092,2.0,Unfurnished,0,75873
Dadar,1,374,2.0,Semi-Furnished,1,37295
Goregaon,2,737,2.0,Semi-Furnished,0,51121
Bandra,1,369,2.0,Fully-Furnished,1,38481
Powai,2,667,1.0,Fully-Furnished,1,68517
Kandivali,2,757,3.0,Semi-Furnished,0,38030
Chembur,3,1167,3.0,Semi-Furnished,0,74358
Andheri,3,1103,3.0,Semi-Furnished,1,73518
Powai,1,313,1.0,Fully-Furnished,1,34583
Andheri,3,912,3.0,Unfurnished,0,65036
Kandivali,3,1099,2.0,Semi-Furnished,0,54615
Malad,1,435,1.0,Unfurnished,1,24623
Kandivali,2,620,2.0,Unfurnished,0,31744
Bandra,3,1172,3.0,Semi-Furnished,0,124799
Bandra,3,1064,2.0,Unfurnished,1,110572
Thane,2,750,3.0,Unfurnished,1,37854
Dadar,3,922,2.0,Semi-Furnished,1,96155
Powai,2,681,1.0,Semi-Furnished,1,59483
Borivali,1,300,1.0,Fully-Furnished,0,20157
Andheri,3,1068,2.0,Fully-Furnished,1,86951
Andheri,1,396,1.0,Unfurnished,1,22776
Chembur,3,1156,3.0,Unfurnished,1,68367
Goregaon,2,609,3.0,Unfurnished,1,37567
Chembur,2,692,2.0,Unfurnished,0,42309
Andheri,2,721,3.0,Unfurnished,1,51718
Powai,3,1065,4.0,Fully-Furnished,1,99028
Malad,4,1409,3.0,Unfurnished,0,71042
Dadar,2,649,3.0,Unfurnished,1,63398
Powai,2,789,3.0,Semi-Furnished,1,81783
Powai,2,576,2.0,Unfurnished,1,48174
Bandra,2,612,2.0,Semi-Furnished,0,70586
Powai,3,1177,4.0,Unfurnished,1,97142
Dadar,1,390,1.0,Fully-Furnished,1,50023
Thane,2,617,2.0,Semi-Furnished,1,37624
Borivali,2,754,2.0,Fully-Furnished,0,45098
Goregaon,2,685,3.0,Unfurnished,0,38017
Andheri,1,339,1.0,Semi-Furnished,1,27266
Thane,2,657,2.0,Semi-Furnished,1,36886
Andheri,4,1393,4.0,Semi-Furnished,0,87792
Dadar,2,738,3.0,Semi-Furnished,0,67909
Kandivali,1,340,1.0,Semi-Furnished,0,18705
Powai,2,859,3.0,Fully-Furnished,1,87465
Powai,1,507,1.0,Semi-Furnished,0,38149
Borivali,2,650,2.0,Semi-Furnished,1,34922
Bandra,2,747,2.0,Fully-Furnished,1,86427
Malad,3,1041,2.0,Semi-Furnished,1,58380
Goregaon,3,1081,3.0,Unfurnished,1,59285
Thane,1,378,1.0,Semi-Furnished,1,19224
Thane,1,332,1.0,Unfurnished,0,15487
Andheri,3,1028,3.0,Semi-Furnished,1,65876
Chembur,2,735,1.0,Semi-Furnished,0,48102
Borivali,2,745,1.0,Unfurnished,1,33503
Thane,2,711,2.0,Semi-Furnished,1,43173
Borivali,2,668,3.0,Unfurnished,1,35497
Malad,2,509,2.0,Unfurnished,1,29196
Powai,1,360,1.0,Fully-Furnished,0,32968
Thane,1,364,1.0,Semi-Furnished,0,17047
Chembur,2,568,1.0,Unfurnished,1,34183
Thane,4,1373,4.0,Unfurnished,1,62178
Goregaon,1,441,1.0,Semi-Furnished,0,24871
Andheri,1,354,2.0,Unfurnished,1,26345
Thane,1,389,1.0,Semi-Furnished,0,19180
Bandra,2,779,2.0,Unfurnished,1,79402
Malad,3,1234,3.0,Fully-Furnished,0,77595
Malad,1,301,2.0,Semi-Furnished,1,22394
Dadar,3,1062,3.0,Semi-Furnished,1,101972
Malad,2,712,3.0,Semi-Furnished,1,44404
Chembur,1,303,2.0,Semi-Furnished,1,21080
Bandra,2,691,2.0,Unfurnished,0,61362
Chembur,3,1046,3.0,Unfurnished,1,61106
Goregaon,3,946,4.0,Semi-Furnished,1,60237
Borivali,2,625,2.0,Unfurnished,1,34571
Goregaon,1,328,1.0,Fully-Furnished,0,21682
Powai,1,300,1.0,Fully-Furnished,0,28704
Andheri,3,1124,3.0,Semi-Furnished,1,79757
Goregaon,3,1061,3.0,Unfurnished,0,61808
Chembur,1,391,1.0,Semi-Furnished,0,21262
Goregaon,1,300,2.0,Unfurnished,1,20534
Dadar,2,785,3.0,Unfurnished,0,72230
Goregaon,3,1234,3.0,Fully-Furnished,1,76481
Dadar,4,1322,5.0,Semi-Furnished,0,139112
Goregaon,1,300,2.0,Fully-Furnished,1,22621
Bandra,3,1064,4.0,Semi-Furnished,1,123526
Kandivali,3,1110,3.0,Unfurnished,0,60498
Bandra,4,1554,4.0,Semi-Furnished,0,154420
Bandra,1,432,1.0,Semi-Furnished,0,41468
Chembur,3,999,3.0,Fully-Furnished,0,76692
Malad,2,678,2.0,Unfurnished,0,36661
Dadar,2,762,2.0,Fully-Furnished,1,85529
Goregaon,4,1368,4.0,Semi-Furnished,1,84634
Powai,2,698,3.0,Unfurnished,1,56837
Chembur,3,1125,3.0,Unfurnished,1,62508
Chembur,3,1094,3.0,Unfurnished,1,62548
Andheri,2,671,1.0,Fully-Furnished,1,56614
Andheri,1,357,1.0,Semi-Furnished,1,29841
Powai,3,1147,3.0,Unfurnished,0,94287
Dadar,1,424,1.0,Unfurnished,0,35852
Bandra,2,626,2.0,Fully-Furnished,0,72597
Chembur,2,733,2.0,Unfurnished,1,43770
Bandra,1,309,2.0,Semi-Furnished,0,35046
Chembur,2,490,1.0,Semi-Furnished,1,29718
Thane,2,734,2.0,Semi-Furnished,0,40212
Bandra,4,1497,3.0,Fully-Furnished,1,193149
Dadar,1,439,1.0,Semi-Furnished,0,36138
Goregaon,2,554,2.0,Unfurnished,0,31830
Andheri,3,1040,4.0,Unfurnished,0,69631
Andheri,3,1041,3.0,Semi-Furnished,1,71286
Borivali,3,1074,3.0,Unfurnished,1,56253
Kandivali,1,303,1.0,Fully-Furnished,0,20942
Andheri,3,1131,2.0,Semi-Furnished,0,74154
Kandivali,1,307,2.0,Unfurnished,1,20914
Malad,1,368,1.0,Unfurnished,1,19105
Malad,4,1449,4.0,Unfurnished,1,81498
Bandra,2,616,1.0,Fully-Furnished,1,70188
Powai,2,714,1.0,Unfurnished,1,60541
Thane,3,1070,4.0,Unfurnished,0,50927
Dadar,4,1386,4.0,Semi-Furnished,1,138207
Dadar,3,1220,3.0,Unfurnished,0,95802
Thane,3,969,2.0,Unfurnished,1,52524
Malad,3,1000,3.0,Unfurnished,1,52387
Kandivali,3,1113,3.0,Fully-Furnished,0,72398
Borivali,3,1240,4.0,Fully-Furnished,0,76515
Powai,1,444,1.0,Fully-Furnished,1,45773
Dadar,2,622,2.0,Semi-Furnished,1,60985
Andheri,2,705,2.0,Semi-Furnished,1,51185
Goregaon,2,764,3.0,Semi-Furnished,1,52964
Bandra,2,493,1.0,Semi-Furnished,0,55106
Kandivali,2,711,2.0,Unfurnished,0,34816
Chembur,1,307,1.0,Fully-Furnished,1,23701
Chembur,2,725,2.0,Unfurnished,0,46024
Andheri,1,300,1.0,Unfurnished,0,17035
Dadar,2,650,1.0,Unfurnished,1,57944
Thane,3,1047,3.0,Unfurnished,1,48238
Bandra,3,905,4.0,Fully-Furnished,0,117085
Andheri,3,1145,2.0,Semi-Furnished,0,73557
Dadar,3,1023,2.0,Unfurnished,0,94564
Kandivali,2,880,3.0,Unfurnished,1,44977
Kandivali,1,430,1.0,Unfurnished,0,20153
Dadar,3,1043,3.0,Unfurnished,1,96507
Andheri,3,1022,3.0,Semi-Furnished,1,64281
Chembur,1,426,2.0,Semi-Furnished,1,30822
Powai,2,762,2.0,Semi-Furnished,0,66746
Malad,2,728,1.0,Unfurnished,1,41164
Powai,2,743,2.0,Unfurnished,1,60778
Thane,3,1224,2.0,Unfurnished,1,59234
Chembur,2,789,3.0,Semi-Furnished,0,51345
Borivali,3,1053,3.0,Semi-Furnished,1,62210
Andheri,1,374,2.0,Unfurnished,0,21319
Bandra,2,727,1.0,Unfurnished,0,69348
Kandivali,2,745,2.0,Unfurnished,0,35004
Bandra,2,719,2.0,Fully-Furnished,0,75028
Dadar,1,503,1.0,Semi-Furnished,1,46881
Bandra,1,330,1.0,Unfurnished,1,36262
Malad,3,1117,3.0,Unfurnished,1,57908
Bandra,1,444,1.0,Semi-Furnished,1,45119
Borivali,2,639,1.0,Semi-Furnished,1,35243
Kandivali,1,476,2.0,Fully-Furnished,1,32874
Borivali,1,444,1.0,Unfurnished,1,22803
Dadar,2,834,2.0,Unfurnished,1,83235
Thane,1,477,2.0,Fully-Furnished,1,32130
Powai,1,300,2.0,Fully-Furnished,0,29731
Chembur,1,300,1.0,Unfurnished,0,17713
Kandivali,2,721,2.0,Unfurnished,1,37597
Thane,2,718,2.0,Fully-Furnished,0,40182
Borivali,2,659,1.0,Semi-Furnished,0,37944
Dadar,2,668,2.0,Semi-Furnished,1,63261
Powai,2,745,1.0,Unfurnished,1,54806
Thane,4,1270,3.0,Fully-Furnished,0,71847
Borivali,4,1431,4.0,Unfurnished,1,74308
Thane,2,700,1.0,Fully-Furnished,1,39727
Chembur,1,300,1.0,Unfurnished,1,15552
Dadar,2,744,1.0,Fully-Furnished,0,72694
Goregaon,1,300,1.0,Unfurnished,0,14980
Dadar,4,1389,4.0,Unfurnished,1,119909
Powai,2,736,2.0,Unfurnished,0,59143
Goregaon,2,610,2.0,Semi-Furnished,0,37707
Dadar,2,598,2.0,Unfurnished,1,54462
Chembur,2,834,2.0,Unfurnished,0,49969
Dadar,2,677,2.0,Fully-Furnished,0,74837
Bandra,3,876,2.0,Fully-Furnished,1,105007
Dadar,4,1382,4.0,Semi-Furnished,0,116334
Goregaon,4,1323,3.0,Semi-Furnished,1,80602
Kandivali,3,998,4.0,Unfurnished,1,55235
Andheri,2,665,2.0,Unfurnished,1,45996
Dadar,3,926,4.0,Unfurnished,1,84123
Bandra,2,699,1.0,Unfurnished,1,69880
Kandivali,3,1072,3.0,Semi-Furnished,1,60106
Andheri,1,311,1.0,Semi-Furnished,1,24252
Powai,3,1037,2.0,Fully-Furnished,0,105399
Malad,4,1394,5.0,Fully-Furnished,1,103615
Borivali,1,427,1.0,Unfurnished,1,22619
Malad,4,1444,3.0,Unfurnished,1,80012
Goregaon,2,634,1.0,Unfurnished,0,37099
Bandra,2,763,2.0,Fully-Furnished,1,82546
Powai,4,1403,3.0,Unfurnished,1,112958
Dadar,3,1083,3.0,Semi-Furnished,1,104098
Dadar,1,343,2.0,Semi-Furnished,1,36353
Goregaon,3,1064,3.0,Unfurnished,1,51668
Andheri,1,300,1.0,Unfurnished,1,22140
Malad,2,705,2.0,Semi-Furnished,1,43935
Bandra,3,1180,3.0,Unfurnished,0,118650
Goregaon,3,1110,4.0,Unfurnished,1,62967
Bandra,2,610,3.0,Unfurnished,0,65394
Chembur,1,356,1.0,Unfurnished,1,22561
Bandra,3,1226,2.0,Unfurnished,1,121261
Powai,2,720,2.0,Semi-Furnished,1,60739
Powai,1,338,1.0,Fully-Furnished,1,37719
Powai,1,304,1.0,Unfurnished,1,23758
Kandivali,2,640,1.0,Semi-Furnished,0,33371
Powai,1,300,1.0,Unfurnished,0,20037
Chembur,2,739,2.0,Unfurnished,1,45129
Dadar,2,712,1.0,Fully-Furnished,0,74608
Kandivali,2,791,2.0,Unfurnished,1,49116
Powai,2,768,2.0,Unfurnished,1,53087
Dadar,2,542,1.0,Unfurnished,1,48576
Bandra,2,612,1.0,Semi-Furnished,0,64696
Borivali,1,401,1.0,Semi-Furnished,1,24314
Andheri,3,1198,3.0,Fully-Furnished,0,98153
Bandra,2,690,2.0,Unfurnished,0,63319
Bandra,1,365,1.0,Fully-Furnished,1,43636
Goregaon,2,689,2.0,Fully-Furnished,1,52264
Kandivali,2,676,2.0,Unfurnished,1,32965
Borivali,3,1046,4.0,Unfurnished,1,56777
Malad,2,627,3.0,Semi-Furnished,1,37394
Andheri,3,1156,3.0,Semi-Furnished,0,85988
Andheri,4,1356,4.0,Unfurnished,0,84155
Kandivali,1,300,1.0,Fully-Furnished,0,16004
Dadar,2,671,2.0,Fully-Furnished,1,63953
Kandivali,3,977,3.0,Semi-Furnished,0,51234
Thane,1,349,1.0,Semi-Furnished,1,20657
Kandivali,2,641,2.0,Unfurnished,0,28509
Powai,2,897,2.0,Unfurnished,1,71386
Kandivali,3,1101,2.0,Unfurnished,0,55947
Borivali,2,705,3.0,Semi-Furnished,1,38556
Andheri,2,695,1.0,Semi-Furnished,1,49972
Borivali,3,1075,2.0,Unfurnished,0,53530
Goregaon,3,994,3.0,Unfurnished,0,55970
Powai,2,787,2.0,Semi-Furnished,1,65340
Malad,3,1013,2.0,Unfurnished,1,56422
Thane,1,300,1.0,Fully-Furnished,0,18217
Kandivali,2,753,2.0,Unfurnished,0,36090
Goregaon,2,697,3.0,Semi-Furnished,1,50076
Kandivali,1,300,1.0,Fully-Furnished,0,19000
Bandra,4,1452,5.0,Semi-Furnished,1,159083
Powai,2,685,1.0,Unfurnished,1,50034
Chembur,2,660,1.0,Unfurnished,0,39244
Dadar,3,938,3.0,Unfurnished,1,89060
Powai,3,1137,3.0,Semi-Furnished,0,104757
Kandivali,1,335,1.0,Fully-Furnished,1,23593
Dadar,2,562,2.0,Semi-Furnished,0,47863
Kandivali,4,1361,4.0,Unfurnished,1,83423
Bandra,3,1119,2.0,Semi-Furnished,0,110760
Bandra,1,306,1.0,Fully-Furnished,1,41574
Kandivali,1,413,1.0,Fully-Furnished,0,24731
Borivali,3,1166,3.0,Fully-Furnished,0,70253
Kandivali,1,302,2.0,Fully-Furnished,0,20568
Goregaon,2,702,1.0,Semi-Furnished,1,43554
Powai,3,1022,2.0,Semi-Furnished,1,87062
Bandra,1,336,1.0,Semi-Furnished,1,33173
Goregaon,3,963,3.0,Semi-Furnished,1,61271
Kandivali,2,668,3.0,Semi-Furnished,1,44057
Andheri,3,1076,3.0,Unfurnished,0,65720
Malad,2,538,1.0,Unfurnished,1,28347
Goregaon,4,1449,4.0,Semi-Furnished,1,84428
Chembur,3,1062,3.0,Semi-Furnished,1,71477
Kandivali,3,999,2.0,Semi-Furnished,0,56921
Borivali,2,660,2.0,Semi-Furnished,1,35210
Kandivali,2,647,2.0,Unfurnished,1,35617
Borivali,2,614,2.0,Fully-Furnished,1,39536
Malad,1,476,2.0,Unfurnished,1,28722
Kandivali,4,1429,4.0,Fully-Furnished,1,91616
Powai,1,300,1.0,Semi-Furnished,0,25568
Borivali,1,324,1.0,Fully-Furnished,1,20140
Powai,2,601,1.0,Semi-Furnished,1,56145
Goregaon,1,300,1.0,Semi-Furnished,1,21684
Bandra,1,314,2.0,Fully-Furnished,1,42198
Dadar,4,1435,5.0,Unfurnished,1,131789
Kandivali,4,1336,5.0,Unfurnished,0,68954
Borivali,4,1378,3.0,Unfurnished,1,73468
Goregaon,1,374,1.0,Unfurnished,1,21060
Goregaon,1,343,1.0,Fully-Furnished,1,25706
Andheri,4,1439,5.0,Semi-Furnished,1,106058
Thane,2,710,1.0,Unfurnished,1,31105
Powai,4,1403,4.0,Unfurnished,1,108100
Kandivali,1,300,1.0,Fully-Furnished,1,24559
Goregaon,2,692,1.0,Fully-Furnished,1,53355
Thane,3,963,3.0,Semi-Furnished,1,53960
Bandra,2,761,2.0,Semi-Furnished,1,80050
Thane,2,655,2.0,Semi-Furnished,1,37316
Dadar,2,746,1.0,Unfurnished,0,61542
Bandra,2,794,3.0,Unfurnished,0,74740
Goregaon,3,1012,4.0,Semi-Furnished,0,68883
Powai,1,432,1.0,Semi-Furnished,0,38397
Thane,4,1451,4.0,Semi-Furnished,1,77109
Thane,2,612,2.0,Unfurnished,1,24479
Goregaon,2,920,2.0,Fully-Furnished,1,62165
Bandra,2,678,1.0,Unfurnished,1,64658
Andheri,1,388,2.0,Unfurnished,0,21882
Thane,4,1288,3.0,Semi-Furnished,0,62921
Goregaon,1,464,1.0,Semi-Furnished,1,28580
Bandra,2,805,2.0,Fully-Furnished,1,98649
Kandivali,2,651,3.0,Unfurnished,1,34913
Kandivali,1,404,1.0,Unfurnished,1,21965
Goregaon,3,1019,2.0,Unfurnished,1,57490
Andheri,3,897,4.0,Semi-Furnished,1,66686
Thane,3,985,3.0,Semi-Furnished,1,53912
Malad,4,1493,4.0,Semi-Furnished,1,90490
Chembur,3,1005,3.0,Unfurnished,1,61754
Goregaon,4,1494,3.0,Semi-Furnished,1,105716
Borivali,1,343,2.0,Unfurnished,0,21111
Thane,2,494,2.0,Semi-Furnished,1,28504
Bandra,1,307,1.0,Unfurnished,1,32469
Powai,3,902,3.0,Semi-Furnished,0,82518
Borivali,1,300,2.0,Fully-Furnished,0,19289
Malad,2,704,2.0,Unfurnished,1,41310
Bandra,2,752,2.0,Unfurnished,1,80146
Dadar,3,1015,3.0,Semi-Furnished,0,101048
Thane,3,977,3.0,Unfurnished,0,48547
Thane,1,456,2.0,Unfurnished,1,21082
Kandivali,4,1365,5.0,Fully-Furnished,1,84014
Borivali,1,483,2.0,Semi-Furnished,0,27291
Kandivali,1,359,1.0,Unfurnished,0,17183
Chembur,1,315,2.0,Semi-Furnished,1,23468
Andheri,3,1205,2.0,Fully-Furnished,1,75556
Bandra,1,319,2.0,Semi-Furnished,1,40507
Goregaon,3,1148,4.0,Semi-Furnished,0,69855
Andheri,3,1089,3.0,Semi-Furnished,0,72200
Dadar,1,434,1.0,Semi-Furnished,0,41960
Goregaon,1,391,1.0,Fully-Furnished,1,28267
Powai,2,717,2.0,Unfurnished,1,55541
Borivali,2,655,2.0,Semi-Furnished,0,39091
Bandra,2,659,2.0,Semi-Furnished,1,79291
Goregaon,2,721,2.0,Semi-Furnished,0,39634
Chembur,3,998,3.0,Unfurnished,0,56545
Andheri,2,762,1.0,Unfurnished,1,48682
Malad,2,631,3.0,Unfurnished,0,34489
Dadar,4,1341,5.0,Semi-Furnished,1,136500
Dadar,3,1030,4.0,Semi-Furnished,1,110732
Borivali,2,706,2.0,Semi-Furnished,1,38769
Goregaon,2,712,3.0,Fully-Furnished,1,53701
Bandra,2,882,2.0,Semi-Furnished,1,87617
Andheri,3,951,4.0,Semi-Furnished,1,75691
Goregaon,1,408,2.0,Unfurnished,0,24472
Goregaon,2,724,3.0,Semi-Furnished,1,49154
Thane,3,1200,4.0,Fully-Furnished,1,67734
Kandivali,2,792,3.0,Semi-Furnished,1,48206
Andheri,2,730,3.0,Unfurnished,1,53219
Chembur,1,300,2.0,Unfurnished,1,19943
Borivali,2,673,3.0,Fully-Furnished,1,40486
Malad,4,1344,4.0,Semi-Furnished,0,77441
Thane,4,1338,4.0,Unfurnished,1,69599
Kandivali,3,1173,3.0,Semi-Furnished,1,67707
Kandivali,1,300,2.0,Unfurnished,1,19497
Borivali,1,300,2.0,Fully-Furnished,1,21265
Andheri,1,552,1.0,Semi-Furnished,1,38446
Malad,3,1201,2.0,Semi-Furnished,0,65952
Andheri,3,1132,3.0,Fully-Furnished,1,92325
Bandra,3,1108,4.0,Unfurnished,1,127889
Bandra,2,731,3.0,Semi-Furnished,1,81725
Borivali,1,327,1.0,Semi-Furnished,0,17704
Dadar,2,683,2.0,Unfurnished,1,65588
Borivali,1,328,,Semi-Furnished,0,19409
Goregaon,2,749,3.0,Fully-Furnished,1,53679
Borivali,1,379,1.0,Semi-Furnished,1,23880
Bandra,1,400,2.0,Semi-Furnished,1,44300
Thane,1,316,1.0,Fully-Furnished,0,20062
Chembur,2,699,2.0,Semi-Furnished,1,49721
Kandivali,4,1245,4.0,Semi-Furnished,0,74833
Andheri,2,685,1.0,Unfurnished,1,39759
Andheri,1,413,1.0,Semi-Furnished,0,29845
Dadar,4,1338,3.0,Semi-Furnished,1,120089
Dadar,2,743,1.0,Unfurnished,1,73128
Borivali,1,367,2.0,Unfurnished,1,20744
Chembur,2,670,2.0,Semi-Furnished,0,43156
Andheri,2,640,2.0,Unfurnished,1,38401
Andheri,3,1003,4.0,Fully-Furnished,1,79618
Chembur,2,563,2.0,Semi-Furnished,1,41844
Kandivali,1,407,1.0,Unfurnished,0,20495
Goregaon,1,300,1.0,Semi-Furnished,0,19465
Chembur,1,317,1.0,Fully-Furnished,1,20369
Kandivali,3,1092,3.0,Semi-Furnished,1,71445
Andheri,4,1578,3.0,Unfurnished,1,91246
Malad,1,478,2.0,Unfurnished,1,29101
Dadar,3,942,3.0,Unfurnished,0,81070
Chembur,2,604,2.0,Unfurnished,0,35376
Bandra,2,664,1.0,Fully-Furnished,1,88997
Malad,2,646,3.0,Fully-Furnished,0,46429
Chembur,3,1205,2.0,Unfurnished,1,74400
Malad,3,1091,3.0,Semi-Furnished,1,62785
Malad,2,748,3.0,Fully-Furnished,1,44075
Kandivali,3,1179,3.0,Unfurnished,1,63162
Kandivali,2,825,3.0,Unfurnished,1,46232
Andheri,3,978,4.0,Fully-Furnished,0,73390
Goregaon,2,665,2.0,Semi-Furnished,0,39814
Borivali,2,774,2.0,Fully-Furnished,1,49359
Andheri,2,790,2.0,Semi-Furnished,0,54253
Goregaon,2,735,1.0,Fully-Furnished,0,45470
Chembur,4,1486,3.0,Semi-Furnished,1,95095
Goregaon,1,388,1.0,Semi-Furnished,0,20502
Goregaon,1,300,1.0,Unfurnished,0,16831
Bandra,3,1084,3.0,Unfurnished,1,104770
Dadar,2,679,3.0,Unfurnished,0,55694
Bandra,2,682,1.0,Semi-Furnished,0,66787
Dadar,3,1063,2.0,Unfurnished,0,98446
Andheri,3,979,3.0,Unfurnished,0,57661
Andheri,1,498,2.0,Semi-Furnished,1,39653
Andheri,3,902,3.0,Unfurnished,0,53853
Andheri,3,1053,2.0,Unfurnished,1,72343
Goregaon,2,742,2.0,Fully-Furnished,1,54623
Malad,1,352,2.0,Semi-Furnished,1,22557
Bandra,1,417,1.0,Unfurnished,1,42098
Malad,2,593,1.0,Semi-Furnished,1,29992
Borivali,4,1487,4.0,Fully-Furnished,1,82438
Borivali,1,354,1.0,Semi-Furnished,0,18062
Bandra,2,700,1.0,Semi-Furnished,0,77131
Bandra,3,943,4.0,Semi-Furnished,1,103948
Thane,3,999,3.0,Fully-Furnished,0,54354
Malad,1,345,1.0,Semi-Furnished,1,23771
Bandra,3,1041,3.0,Fully-Furnished,0,141970
Bandra,2,645,3.0,Semi-Furnished,1,70339
Malad,1,383,1.0,Fully-Furnished,0,25178
Dadar,1,300,2.0,Semi-Furnished,1,31634
Malad,2,725,3.0,Semi-Furnished,1,40604
Dadar,2,778,2.0,Semi-Furnished,1,84223
Kandivali,1,347,1.0,Semi-Furnished,1,22597
Malad,2,776,3.0,Unfurnished,1,50559
Andheri,3,1086,3.0,Unfurnished,1,65550
Chembur,1,429,1.0,Semi-Furnished,1,28359
Andheri,2,742,2.0,Fully-Furnished,1,58752
Borivali,3,1162,3.0,Unfurnished,0,51540
Malad,2,662,1.0,Semi-Furnished,1,40991
Malad,1,358,1.0,Fully-Furnished,1,28744
Bandra,2,659,1.0,Fully-Furnished,0,85958
Malad,3,965,3.0,Unfurnished,1,44538
Goregaon,1,390,1.0,Unfurnished,0,22150
Thane,1,300,1.0,Fully-Furnished,0,18862
Bandra,3,1031,4.0,Fully-Furnished,1,132882
Goregaon,3,991,4.0,Fully-Furnished,1,71038
Dadar,1,301,1.0,Semi-Furnished,1,33188
Bandra,4,1448,4.0,Semi-Furnished,0,139060
Goregaon,3,1101,2.0,Semi-Furnished,1,70092
Thane,2,560,2.0,Unfurnished,1,28889
Andheri,2,673,2.0,Semi-Furnished,1,48364
Chembur,2,612,2.0,Unfurnished,0,31641
Andheri,1,401,2.0,Semi-Furnished,1,29439
Andheri,2,620,2.0,Semi-Furnished,0,36171
Chembur,2,699,3.0,Semi-Furnished,0,46289
Kandivali,2,732,3.0,Unfurnished,1,39919
Borivali,2,684,2.0,Semi-Furnished,1,38891
Borivali,3,1030,3.0,Unfurnished,1,52103
Chembur,2,647,1.0,Unfurnished,1,38755
Chembur,2,708,2.0,Unfurnished,0,39917
Bandra,2,859,2.0,Fully-Furnished,0,100642
Goregaon,1,403,1.0,Fully-Furnished,0,29509
Goregaon,3,987,2.0,Unfurnished,0,56017
Powai,1,412,1.0,Unfurnished,1,32034
Goregaon,2,651,3.0,Semi-Furnished,1,48272
Thane,3,915,4.0,Fully-Furnished,1,56651
Powai,2,668,2.0,Fully-Furnished,1,67985
Bandra,1,300,2.0,Unfurnished,0,31018
Dadar,1,363,1.0,Unfurnished,0,33185
Chembur,2,802,1.0,Fully-Furnished,1,42750
Dadar,1,338,1.0,Fully-Furnished,0,38432
Andheri,4,1353,4.0,Fully-Furnished,1,101710
Borivali,2,657,3.0,Fully-Furnished,1,41496
Thane,3,1018,3.0,Unfurnished,1,47600
Kandivali,1,341,2.0,Unfurnished,1,21904
Kandivali,2,672,2.0,Semi-Furnished,0,32550
Goregaon,2,706,2.0,Fully-Furnished,0,44867
Borivali,3,1081,2.0,Semi-Furnished,1,57096
Malad,2,583,3.0,Unfurnished,1,33224
Goregaon,2,745,1.0,Unfurnished,1,38274
Thane,1,324,1.0,Fully-Furnished,0,15875
Bandra,1,300,1.0,Fully-Furnished,1,44226
Malad,1,454,1.0,Semi-Furnished,0,25577
